name,artist,id,popularity,release_date
I'LL BE WITH YOU,Zack Tabudlo,1CMQT0gCXoS2qCMyT95VMl,21,2023-08-11
Sahiba,Aditya Rikhari,0eLtIxPRNJfsmehITZ1qaJ,88,2023-12-19
Haegeum,Agust D,4bjN59DRXFRxBE1g5ne6B1,86,2023-04-21
Khayaal,Talwiinder,4D8eFUu6Hvulrq6CGqGaLR,76,2023-03-16
52 Bars,Karan Aujla,6rFckZb1cuJYzsZiGHgqks,73,2023-02-04
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,7CyPwkp0oE8Ro9Dd5CUDjW,91,2023-06-23
Husn,Anuv Jain,0TL0LFcwIBF5eX7arDIKxY,78,2023-12-01
"Chaleya (From ""Jawan"")",Anirudh Ravichander,4nc6XiUze2Yh7wFueGOPv7,70,2023-08-14
With You,AP Dhillon,0xIuPDzJSnJywALez8dwKR,72,2023-08-11
"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,6EivvaEepVTjmDde43eGiB,71,2023-07-18
"O Maahi (From ""Dunki"")",Pritam,0qQ4IdhjzNr0gJhdMTf2n3,71,2023-12-11
Nee Singam Dhan,A.R. Rahman,0vua5LbAth2HzKqpbnVRZk,70,2023-03-18
One Love,Shubh,5ZLkihi6DVsHwDL3B8ym1t,77,2023-08-18
Teri Yaad,Aditya Rikhari,3uUAbrwsttRpv2kfAvAUN9,70,2023-02-07
Heeriye (feat. Arijit Singh),Jasleen Royal,5PUXKVVVQ74C3gl5vKy9Li,74,2023-07-25
California Love,Cheema Y,610keNiNVTIkYD0CqeSerg,73,2023-01-30
Pehle Bhi Main,Vishal Mishra,7yDHHVKLbvDmVw1XXhDDIO,73,2023-11-24
Softly,Karan Aujla,0YQJoDL6f46J0n1rOVkpxJ,76,2023-08-18
Tere Pyaar Mein,Pritam,2ZD4aIEepqZsdxPxLSuUhm,70,2023-02-01
Cheques,Shubh,4eBvRhTJ2AcxCsbfTUjoRp,76,2023-05-19
"Satranga (From ""ANIMAL"")",Arijit Singh,3yHyiUDJdz02FZ6jfUbsmY,77,2023-10-27
"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",Vishal Mishra,0645eBDehHcqfiF15hscQV,74,2023-03-17
Ek Khtola Jail Ke Bhitar,Masoom Sharma,498N5tXDvgIuJOa7qTfglg,70,2023-05-20
Zaalima,Arijit Singh,4MU4Kfkd9EnkArK2ocQyqK,74,2023-05-26
Main Rang Sharbaton Ka,Atif Aslam,2IEhtVeM9TVql8fZdKdlo9,71,2023-04-20
Admirin' You (feat. Preston Pablo),Karan Aujla,6ygiy70ujkNOYXM1tQuMNe,74,2023-08-18
Shok Albadi,Masoom Sharma,1oO9rUyHv1OalPZ8as0u5S,0,2023-07-26
Do the Evolution,Pearl Jam,0NebFP4wBJ4H3VDT5d7RAG,15,2023-02-24
on the street (with J. Cole),j-hope,6BxXT322WUHrd6fGupaLLM,17,2023-03-03
Hola Amigo,KR$NA,19pHSvXUwErAXFktkvYMk9,68,2023-08-29
True Stories,AP Dhillon,28lvraTNIN8qiTpoIK7m8Z,65,2023-06-16
